scientific_name,canonical_name,name_verbatim,group,guid,genus,family,order,class,phylum,kingdom,vernacularName,matchType,nameType,source,souce_URL,recordCurator,recordCuratorID,recordRightsHolder,recordAccessRights,recordLicense,recordType,recordLanguage,recordCitation,recordCitationURL,recordInZotero,recordCreated,recordModified,recordDatasetName,recordDatasetID
"Tiliqua rugosa (Gray, 1825)",Tiliqua rugosa,Tiliqua rugosa,Reptiles,https://biodiversity.org.au/afd/taxa/bf5d2694-d652-423b-b812-ff2b38a4abae,Tiliqua,Scincidae,Squamata,Reptilia,Chordata,Animalia,Shingle-back,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Crocodylus porosus Schneider, 1801",Crocodylus porosus,Crocodylus porosus,Reptiles,https://biodiversity.org.au/afd/taxa/989a7126-df02-4f1f-a21f-feca59662947,Crocodylus,Crocodylidae,Crocodylia,Reptilia,Chordata,Animalia,Saltwater Crocodile,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Moloch horridus Gray, 1841",Moloch horridus,Moloch horridus,Reptiles,https://biodiversity.org.au/afd/taxa/7579a9fa-62c5-4e0a-9773-ae87cd8ed30a,Moloch,Agamidae,Squamata,Reptilia,Chordata,Animalia,Thorny Devil,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Petaurus gracilis (De Vis, 1883)",Petaurus gracilis,Petaurus gracilis,Mammals,https://biodiversity.org.au/afd/taxa/f95f93b4-3038-41d1-97b9-caf80eec87be,Petaurus,Petauridae,Diprotodontia,Mammalia,Chordata,Animalia,Mahogany Glider,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Casuarius casuarius (Linnaeus, 1758)",Casuarius casuarius,Casuarius casuarius,Birds,https://biodiversity.org.au/afd/taxa/5fc1b9fe-ccdd-4c3a-adfc-6f6e5c5c396b,Casuarius,Casuariidae,Struthioniformes,Aves,Chordata,Animalia,Southern Cassowary,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Litoria chloris (Boulenger, 1892)",Litoria chloris,Litoria chloris,Frogs,https://biodiversity.org.au/afd/taxa/a4936701-d319-4800-8245-bba6dce19c62,Litoria,Pelodryadidae,Anura,Amphibia,Chordata,Animalia,Red-eyed Tree Frog,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Allocasuarina littoralis,Allocasuarina littoralis,Flowering plants,https://id.biodiversity.org.au/taxon/apni/51433033,Allocasuarina,Casuarinaceae,Fagales,Equisetopsida,Charophyta,Plantae,Black Sheoak,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
Casuarina glauca Sieber,Casuarina glauca,Casuarina glauca,Flowering plants,https://id.biodiversity.org.au/node/apni/2893120,Casuarina,Casuarinaceae,Fagales,Equisetopsida,Charophyta,Plantae,Swamp Oak,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Liopholis whitii (Lacépède, 1804)",Liopholis whitii,Egernia whitii,Reptiles,https://biodiversity.org.au/afd/taxa/785f90ec-bdf7-4599-82b0-d50058fc4030,Liopholis,Scincidae,Squamata,Reptilia,Chordata,Animalia,White's Skink,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
"Oecophylla smaragdina (Fabricius, 1775)",Oecophylla smaragdina,Oecophylla smaragdina,Invertebrates,https://biodiversity.org.au/afd/taxa/56076f1e-f2c6-43f9-a80b-b0802ddc5fb0,Oecophylla,Formicidae,Hymenoptera,Insecta,Arthropoda,Animalia,Green Tree Ant,exactMatch,SCIENTIFIC,"Collins, A. (2023). Species List: Australian iconic species, Atlas of Living Australia.",https://lists.ala.org.au/speciesListItem/list/dr781,Jack Brinkman|Kathryn Hall,https://orcid.org/0009-0007-2681-3367|https://orcid.org/0000-0002-8785-4513,Atlas of Living Australia,https://ala.org.au,http://creativecommons.org/licenses/by/3.0/,text,en,"Australian Iconic Species.  2023.  Atlas of Living Australia, Species List.  Accessed at: https://lists.ala.org.au/speciesListItem/list/dr781, 25 September 2025.",https://list.ala.org.au,FALSE,9/25/2025 12:43:44,12/16/2025 15:30:24,Atlas of Living Australia,ARGA:TL:0000214
