"scientificName","canonicalName_curated","rank_verbatim","verbatimName","vernacularName_fromSource","sourceDatasetName","sourceDatasetID","datasetSource","datasetCitation","dataCurrency","sourceLicense","sourceRightsHolder","Commercial sector","Agricultural industry","Vernacular group","Commercial and trade fisheries","Managed fisheries","CAAB_Code","wildStatus","exoticStatus","omnivore","carnivore","herbivore","herbivoreGutType","cryoconservationStatus","local","detailedLocal","regional","international","cropType","livestockType","recordCurator","recordCuratorID","recordRightsHolder","recordAccessRights","recordType","recordLanguage","recordLicense","recordBibliographicCitation","recordCreated","recordModified","recordDatasetName"
"? Citroncirus webberi","? Citroncirus webberi","hybrid","?Citroncirus webberi J. W. Ingram & H. E. Moore","","Fruit Reproductive Material Information System (FRUMATIS), European Commission","ARGA:TL:0000046","https://ec.europa.eu/frumatis/","European Commission. 2023. FRUMATIS?- Fruit Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","horticultural crop","","","","","","","","","","","","","","","","fruits, vegetables, herbs and spices","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 16:19:39 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"? Festulolium","? Festulolium","species","?Festulolium Asch. et Graebn.","Hybrids resulting from the crossing of a species of the genus Festuca with a species of the genus Lolium","Common catalogue of varieties of agricultural plant species","ARGA:TL:0000048","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_agricultural-plant-species.pdf","European Commission. 2023. Common catalogue of varieties of agricultural plant species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/plants/plant-reproductive-material/plant-variety-catalogues-databases-information-systems_en, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","crops and cereals","","","","","","","","","","","","","","","","pasture and forage crops","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Wed Sep 20 2023 07:43:31 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"? Triticosecale","? Triticosecale","hybrid","?Triticosecale Wittm. ex A. Camus","Hybrids resulting from the crossing of a species of the genus Triticum and a species of the genus Secale","Common catalogue of varieties of agricultural plant species","ARGA:TL:0000048","https://food.ec.europa.eu/system/files/2023-08/plant-variety-catalogues_agricultural-plant-species.pdf","European Commission. 2023. Common catalogue of varieties of agricultural plant species - Consolidated version 27.01.2023. Accessed at: https://food.ec.europa.eu/plants/plant-reproductive-material/plant-variety-catalogues-databases-information-systems_en, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","crops and cereals","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Wed Sep 20 2023 07:43:31 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies alba","Abies alba","species","Abies alba Mill.","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies amabilis","Abies amabilis","species","Abies amabilis (Douglas ex Loudon) J.Forbes","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies balsamea","Abies balsamea","species","Abies balsamea (L.) Mill.","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies cephalonica","Abies cephalonica","species","Abies cephalonica Loud.","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies cilicica","Abies cilicica","species","Abies cilicica (Antoine & Kotschy) Carri?re","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies grandis","Abies grandis","species","Abies grandis Lindl.","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
"Abies koreana","Abies koreana","species","Abies koreana E.H.Wilson","","Forest Reproductive Material Information System (FOREMATIS), European Commission","ARGA:TL:0000045","https://ec.europa.eu/forematis/","European Commission. 2023. FOREMATIS?- Forest Reproductive Material Information System Accessed at: https://ec.europa.eu/frumatis, 25 May, 2023.","Thu May 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","European Commission","agriculture","forestry","","","","","","","","","","","","","","","","","","Keeva Connolly","https://orcid.org/0009-0004-1409-4041","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","Australian Reference Genome Atlas (ARGA).  (2025).  Accessed at: https://app.arga.org.au/browse/groups/industry-and-commerical-species.","Tue Sep 19 2023 14:59:17 GMT+1000 (Australian Eastern Standard Time)","Tue May 06 2025 15:02:16 GMT+1000 (Australian Eastern Standard Time)","ARGA Industry and commercial Species"
