"canonicalName","rank","scientificName","vernacularName","sourceDatasetName","sourceDatasetID","datasetSource","sourceDatasetCitation","dataCurrency","sourceLicense","sourceRightsHolder","VulnerableWildfire","vernacularGroup","vernacularSubGroup","preFireImperilmentScore","fireOverlapScore","RISKDueToImperilmentAndFireOverlap ","fireAndPostFireMortalityScore","provisionalPriorityStatus/furtherAssessmentNeeded","Jurisdiction/s","interactiveEffectsOfFireAndDrought","shortFireIntervals(ImpactsOfHighFireFrequency)","postFireHerbivoreImpacts","fireDiseaseInteractions","highFireSeverity","weedInvasion","elevatedWinterTemperaturesOrChangedTemperatureRegimes","fireSensitivity","postFireErosion","cumulativeExposureToHighRisks","otherPlausibleThreatsOrExpertDrivenNominations","curator","recordRightsHolder","accessRights","type","language","recordLicense","bibliographicCitation","created","modified","recordDatasetName"
"`Hesperisiphon` `diversus` (per M. Harvey)","species","`Hesperisiphon` `diversus` (per M. Harvey)","","Provisional List of Priority Invertebrate Species requiring Urgent Management Intervention or On-ground Assessment (provisional priority status/further assessment needed)","ARGA:TL:0000072","https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf","Department of Agriculture, Water and the Environment. 2020. Provisional list of priority invertebrate species requiring urgent management intervention or on-ground assessment. Accessed at: https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf, 1 June, 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","Commonwealth of Australia","true","invertebrates","millipedes","","","","","true","WA","","","","","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:00:59 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"`Hesperisiphon` `peckorum` (per M. Harvey)","species","`Hesperisiphon` `peckorum` (per M. Harvey)","","Provisional List of Priority Invertebrate Species requiring Urgent Management Intervention or On-ground Assessment","ARGA:TL:0000071","https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf","Department of Agriculture, Water and the Environment. 2020. Provisional list of priority invertebrate species requiring urgent management intervention or on-ground assessment. Accessed at: https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf, 1 June, 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","Commonwealth of Australia","true","invertebrates","millipedes","","","","","","WA","","","","","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 10:29:12 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Abantiades sp. n. Kangaroo Island (per E. Beaver)","species","Abantiades sp. n. Kangaroo Island (per E. Beaver)","","Provisional List of Priority Invertebrate Species requiring Urgent Management Intervention or On-ground Assessment","ARGA:TL:0000071","https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf","Department of Agriculture, Water and the Environment. 2020. Provisional list of priority invertebrate species requiring urgent management intervention or on-ground assessment. Accessed at: https://www.dcceew.gov.au/sites/default/files/env/pages/9a6a5628-21b9-4a1b-9474-e953fc5138db/files/provisional-list-invertebrates-requiring-urgent-management-intervention.pdf, 1 June, 2023.","Thu Jun 01 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","CC BY 4.0","Commonwealth of Australia","true","invertebrates","butterflies and moths","","","","","","SA","","","","","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 10:29:12 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia alaticaulis","species","Acacia alaticaulis","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia awestoniana","species","Acacia awestoniana","Stirling Range Wattle","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","WA","","","","true","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia beadleana","species","Acacia beadleana","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","true","","true","true","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia blayana","species","Acacia blayana","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","","true","true","","true","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia cangaiensis","species","Acacia cangaiensis","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","true","","true","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia chalkeri","species","Acacia chalkeri","","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","true","","","","","","","","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
"Acacia clunies-rossiae","species","Acacia clunies-rossiae","Kowmung Wattle, Kanangra Wattle","Final list of plants requiring urgent management intervention","ARGA:TL:0000073","https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants","Department of Agriculture, Water and the Environment. 2020. Final priority list of plants. Accessed at: https://www.dcceew.gov.au/environment/biodiversity/bushfire-recovery/bushfire-impacts/priority-plants, 25 September, 2023.","Mon Sep 25 2023 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","Commonwealth of Australia","true","plants","","","","","","","NSW","true","","","","","","","","","true","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Mon Sep 25 2023 11:36:46 GMT+1000 (Australian Eastern Standard Time)","Tue Sep 26 2023 08:04:50 GMT+1000 (Australian Eastern Standard Time)","ARGA Bushfire Recovery"
