"scientificName","rank","verbatimName","vernacularName","sourceDatasetName","sourceDatasetID","datasetSource","sourceDatasetCitation","sourceDataCurrency","sourceLicense","sourceRightsHolder","migratorySpecies","SPrATSpeciesProfiles","specifiedPopulation(EPBC Act)","CMSAppendix","CMSAgreementsAndMemorandaOfUnderstanding","populationNames","recordCurator","recordRightsHolder","recordAccessRights","recordType","recordLanguage","recordLicense","recordBibliographicCitation","recordCreated","recordModified","recordDatasetName"
"Abroscopus schisticeps","SPECIES","Scotocercidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Abroscopus superciliaris","SPECIES","Scotocercidae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter badius","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter badius","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Raptors","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter bicolor","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter brevipes","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Raptors","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter brevipes","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter cooperii","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter fasciatus","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter gentilis","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter gentilis","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Raptors","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter gularis","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Raptors","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter gularis","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter melanoleucus","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter nisus","SPECIES","","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","","Raptors","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
"Accipiter nisus","SPECIES","Accipitridae spp.","","Species listed in the Convention on the Conservation of Migratory Species of Wild Animals (CMS), and/or related agreements and MoUs","ARGA:TL:0000112","https://speciesplus.net/species","UNEP (2024). The Species+ Website. Nairobi, Kenya. Compiled by UNEP-WCMC, Cambridge, UK. Available at: www.speciesplus.net. [Accessed 21/02/2024].","Wed Feb 21 2024 00:00:00 GMT+1000 (Australian Eastern Standard Time)","","UNEP","true","","","II (migratory species conserved through agreements)","CMS","","ARGA Team","Australian Reference Genome Atlas (ARGA) Project for the Atlas of Living Australia and Bioplatforms Australia","https://www.arga.org.au/about/terms-of-use","text","en","https://creativecommons.org/licenses/by/4.0/","""{U4} {P4}.  Australian Reference Genome Atlas (ARGA). {insert YYYY}.  Accessed at: https://app.arga.org.au/domain/{O4}, {insert D Month, Year}.""","Wed Feb 21 2024 07:16:45 GMT+1000 (Australian Eastern Standard Time)","Wed Feb 21 2024 07:23:14 GMT+1000 (Australian Eastern Standard Time)","ARGA Migratory Species"
